RI;Al;Mn;Pb;Si;K;Cu;Ag;Fe;Type
151.567;13.29;2.45;0.41;72.74;0.56;11.57;0;0;Revolver
151.909;13.89;2.53;0.52;71.81;0.51;11.78;0.11;0;Revolver
151.797;12.74;2.48;0.55;72.96;0.64;11.68;0;0;Revolver
152.213;14.21;2.82;0;71.77;0.11;12.57;0;0;Revolver
152.213;14.21;2.82;0;71.77;0.11;12.57;0;0;Revolver
151.793;12.79;2.5;0.32;73.03;0.64;11.77;0;0;Revolver
151.755;12.71;2.42;0.4;73.2;0.59;11.64;0;0;Revolver
151.779;13.21;2.39;0.53;72.76;0.59;11.59;0;0;Revolver
15.221;13.73;2.84;0;71.76;0.17;12.74;0;0;Revolver
151.786;12.73;2.43;0.39;72.95;0.62;11.76;0;0.3;Revolver
1.519;13.49;2.48;0.55;71.95;0.55;12;0;0;Revolver
151.869;13.19;2.37;0.38;72.72;0.57;11.83;0;0.16;Revolver
152.667;13.99;2.7;0;71.57;0.02;12.82;0;0.1;Revolver
152.223;13.21;2.77;0;71.99;0.13;13.02;0;0;Revolver
151.898;13.58;2.35;0.43;72.08;0.59;11.91;0;0;Revolver
15.232;13.72;2.72;0;71.75;0.09;13.06;0;0.16;Revolver
151.926;13.2;2.33;0.48;72.36;0.6;12.14;0;0.11;Revolver
151.808;13.43;1.87;0.39;72.84;0.55;12.03;0;0;Revolver
151.837;13.14;1.84;0.48;72.85;0.55;12.07;0;0;Revolver
151.778;13.21;1.81;0.49;72.98;0.51;12.02;0;0.09;Revolver
151.769;12.45;1.71;0.49;73.7;0.56;12.06;0;0.24;Revolver
151.215;12.99;2.47;0.32;72.98;0.62;11.35;0;0.31;Revolver
151.824;12.87;2.48;0.49;72.95;0.6;11.43;0;0;Revolver
151.754;13.48;2.74;0.37;72.99;0.59;11.03;0;0;Revolver
151.754;13.39;2.66;0.39;72.79;0.57;11.27;0;0.11;Revolver
151.905;13.6;2.62;0.31;72.64;0.14;11.76;0;0;Revolver
151.977;13.81;2.58;0.52;71.72;0.12;11.67;0.69;0;Revolver
152.172;13.51;2.86;0.08;71.79;0.23;12.54;0;0.11;Revolver
152.227;14.17;2.81;0;71.35;0;12.69;0;0;Revolver
152.172;13.48;2.74;0.1;72.01;0.18;12.61;0;0.07;Revolver
152.099;13.69;2.59;0.32;71.96;0.09;12.4;0;0;Revolver
152.152;13.05;2.65;0.07;72.22;0.19;12.85;0;0.17;Revolver
152.152;13.05;2.65;0.07;72.32;0.19;12.85;0;0.17;Revolver
152.152;13.12;2.58;0.1;72.2;0.23;12.82;0;0.16;Revolver
1.523;13.31;2.58;0.02;71.99;0.12;13.17;0;0.03;Revolver
151.574;12.86;3.67;0.94;71.87;0.16;;0;0.12;Knife
151.848;11.64;3.87;0.47;71.96;0.54;8.32;0;0.32;Knife
151.593;11.09;3.59;0.72;73.1;0.67;7.83;0;0;Knife
151.631;11.34;3.57;0.77;72.87;0.61;;0;0;Knife
151.596;11.02;3.56;0.74;73.11;0.72;7.9;0;0;Knife
15.159;11.02;3.58;0.71;73.12;0.69;7.96;0;0;Knife
151.645;11.44;3.61;0.74;72.39;0.66;8.03;0;0;Knife
151.627;11;3.58;0.74;72.83;0.61;8.04;0;0;Knife
151.613;11.92;3.52;0.45;72.88;0.37;7.94;0;0.14;Knife
15.159;10.82;3.52;1.1;72.86;0.69;7.97;0;0;Knife
151.592;10.86;3.52;1.32;72.66;0.69;7.97;0;0;Knife
151.593;11.25;3.45;0.63;73.17;0.61;7.86;0;0;Knife
151.646;11.41;3.55;0.45;72.81;0.68;8.1;0;0;Knife
151.594;11.09;3.52;0.75;72.87;0.68;8.05;0;0.09;Knife
151.409;12.25;3.09;1.28;72.28;1.1;7.08;0;0;Knife
151.625;11.36;3.58;0.69;72.72;0.45;8.21;0;0;Knife
151.569;11.24;3.49;0.67;73.25;0.38;8.03;0;0;Knife
151.645;11.4;3.49;0.72;72.65;0.67;8.08;0;0.1;Knife
151.618;11.01;3.5;0.68;72.89;0.6;8.12;0;0;Knife
15.164;10.55;3.48;1.07;73.23;0.63;8.08;0;0.09;Knife
151.841;10.93;3.74;0.31;72.28;0.64;8.96;0;0.22;Knife
151.605;10.9;3.44;0.65;73.06;0.44;8.27;0;0;Knife
151.588;11.12;3.41;0.78;73.26;0.07;8.39;0;0.19;Knife
15.159;11.24;3.34;0.67;73.1;0.39;8.22;0;0;Knife
151.629;10.71;3.33;0.69;73.28;0.67;8.24;0;0;Knife
15.186;11.36;3.43;0.63;72.26;0.51;8.6;0;0;Knife
151.841;11.02;3.62;0.26;72.34;0.64;9.13;0;0.15;Knife
151.743;10.2;3.25;0.36;73.55;0.62;8.9;0;0.24;Knife
151.689;10.67;2.88;0.91;73.21;0.73;8.54;0;0;Knife
151.811;10.96;2.96;0.63;72.92;0.6;8.79;0.14;0;Knife
151.655;10.75;2.85;0.64;73.27;0.57;8.79;0.11;0.22;Knife
15.173;10.35;2.72;0.83;72.87;0.7;9.23;0;0;Knife
15.182;10.62;2.76;0.03;73.81;0.35;9.42;0;0.2;Knife
152.725;11.8;3.15;0;70.57;0.08;11.64;0;0;Knife
15.241;11.83;2.9;0.37;71.15;0.08;10.79;0;0;Knife
152.475;9.45;0;1.08;72.19;0.81;13.24;0;0.34;Knife
153.125;8.73;0;1.3;69.81;0.58;13.3;3.15;0.28;Knife
153.393;10.3;0;0.2;70.16;0.12;16.19;0;0.24;Knife
152.222;12.43;0;0.2;72.67;0.1;11.52;0;0.08;Knife
151.818;11.72;0;0;74.45;0;10.99;0;0;Knife
152.664;9.23;0;0;73.21;0;14.68;0;0;Knife
152.739;9.02;0;0;73.08;0;;0;0;Knife
152.777;10.64;0;0;72.02;0.06;14.4;0;0;Knife
151.892;11.46;3.83;0.46;72.55;0.57;8.21;0;0.14;Knife
151.847;11.1;3.97;0.39;72.44;0.6;8.43;0;0;Knife
151.846;11.41;3.89;0.53;72.38;0.51;8.28;0;0;Knife
151.829;11.24;3.9;0.61;72.33;0.55;8.31;0;0.1;Knife
151.708;11.72;3.68;1.01;72.06;0.64;7.88;0;0;Knife
151.673;11.3;3.64;0.73;72.53;0.65;8.03;0;0.29;Knife
151.652;11.56;3.57;0.67;72.45;0.64;7.96;0;0;Knife
151.844;11.25;3.76;0.52;72.4;0.58;8.42;0;0;Knife
151.663;10.93;3.54;0.82;72.96;0.64;8.03;0;0.21;Knife
151.687;11.23;3.54;0.68;72.84;0.56;8.1;0;0;Knife
151.707;11.48;3.48;0.91;72.52;0.62;7.99;0;0;Knife
152.177;11.2;3.68;0.35;72.75;0.54;8.52;0;0;Knife
151.872;10.93;3.66;0.76;72.51;0.58;8.55;0;0.12;Knife
151.667;10.94;3.61;0.46;72.75;0.56;8.6;0;0;Knife
152.081;11.78;2.28;0.63;71.99;0.49;9.85;0;0.17;Knife
152.068;11.55;2.09;0.87;72.18;0.53;9.57;0.27;0.17;Knife
15.202;11.98;1.35;0.83;71.76;0.39;10.56;0;0.18;Knife
152.177;11.75;1.01;0.56;72.19;0.33;11.14;0;0;Knife
152.614;11.7;0;0.56;71.24;0.19;13.44;0;0.1;Knife
151.813;11.43;3.98;0.38;72.49;0.58;8.15;0;0;Knife
1.518;11.71;3.93;0.74;71.81;0.54;8.21;0;0.15;Knife
151.811;11.33;3.85;0.45;72.78;0.52;8.12;0;0;Knife
151.789;11.19;3.9;0.5;72.33;0.55;8.44;0;0.28;Knife
151.806;11;3.8;0.28;73.07;0.56;8.38;0;0.12;Knife
151.711;10.89;3.62;0.77;72.96;0.61;8.11;0;0;Knife
151.674;10.79;3.52;0.74;73.36;0.66;7.9;0;0;Knife
151.674;10.87;3.56;0.84;73.14;0.65;7.99;0;0;Knife
15.169;11.33;3.54;0.81;72.54;0.68;8.11;0;0;Knife
151.851;11.2;3.63;0.27;72.83;0.57;8.41;0.09;0.17;Knife
151.662;10.85;3.51;0.64;73.01;0.68;8.23;0.06;0.25;Knife
151.709;11;3.47;0.99;72.72;0.66;8.18;0;0;Knife
15.166;10.99;3.18;0.43;72.97;0.58;8.81;0;0.24;Knife
151.839;10.85;3.67;0.44;72.57;0.62;8.68;0;0.35;Knife
151.769;11.65;2.66;1.11;72.77;0.11;8.6;0;0;Lead Pipe
15.161;11.33;2.53;1.34;72.67;0.56;8.33;0;0;Lead Pipe
15.167;11.24;2.57;1.38;72.7;0.56;8.44;0;0.1;Lead Pipe
151.643;10.16;2.52;1.35;72.89;0.57;8.53;0;0;Lead Pipe
151.665;11.14;2.45;1.76;72.48;0.6;8.38;0;0.17;Lead Pipe
152.127;12.32;2.9;0.83;71.5;0;9.49;0;0;Lead Pipe
151.779;11.64;2.65;0.65;73;0.06;8.93;0;0;Lead Pipe
15.161;11.42;2.4;1.22;72.69;0.59;8.32;0;0;Lead Pipe
151.694;10.86;2.58;1.31;72.61;0.61;8.79;0;0;Lead Pipe
151.646;11.04;2.4;1.26;73.01;0.52;8.58;0;0;Lead Pipe
151.655;11.41;2.39;1.28;72.64;0.52;8.65;0;0;Lead Pipe
152.121;12.03;2.76;0.58;71.79;0.11;9.65;0;0;Lead Pipe
151.776;11.53;2.41;1.52;72.04;0.58;8.79;0;0;Lead Pipe
151.796;11.5;2.36;1.63;71.94;0.57;8.81;0;0.09;Lead Pipe
151.832;11.33;2.34;1.54;72.14;0.56;8.99;0;0;Lead Pipe
151.934;11.64;2.54;0.75;72.65;0.16;8.89;0.15;0.24;Lead Pipe
152.211;12.19;2.78;0.91;71.36;0.23;9.14;0;0.37;Lead Pipe
151.514;12.01;1.68;;69.89;1.68;5.87;2.2;1;Wrench
151.915;10.73;0.85;1.06;72.69;0.6;10.09;0;1;Wrench
152.171;9.56;0.88;0.76;72.86;0.47;11.41;0;1;Wrench
152.151;9.03;0.71;0.76;73.44;0.58;11.62;0;1;Wrench
151.969;10.64;0;0.85;73.75;0.38;11.53;0;1;Wrench
151.666;10.86;0;1.03;73.88;0.97;10.17;0;1;Wrench
151.994;11.27;0;0.96;73.03;0.47;11.32;0;1;Wrench
152.369;11.44;0;0.78;72.22;0.32;12.24;0;1;Wrench
151.316;11.02;0;2.24;70.48;6.21;6.96;0;1;Wrench
151.321;11;0;2.22;70.7;6.21;6.93;0;1;Wrench
152.043;11.38;0;;72.25;0.33;12.5;0;1;Wrench
152.058;10.85;0.61;1.37;72.18;0.76;9.7;0.24;1.51;Wrench
152.119;10.97;0;0.71;73.39;0.13;11.27;0;1.28;Wrench
151.131;11.69;2.2;1.01;72.81;1.76;5.43;1.19;0;Candlestick
151.838;12.32;2.26;1.42;71.25;1.46;5.79;1.63;0;Candlestick
152.315;11.44;2.34;0.43;72.38;0.6;8.83;0;0;Candlestick
152.247;12.86;1.2;1.26;70.26;0.76;9.76;0;0;Candlestick
152.365;13.79;0.83;0.51;70.43;0.31;8.61;1.68;0;Candlestick
151.613;11.88;0.78;0.99;73.1;0;8.67;0.76;0;Candlestick
151.602;12.85;0;1.58;73.28;0;8.76;0.64;0.09;Candlestick
151.623;12.2;0;1.99;73.46;0.04;9.04;0.4;0.09;Candlestick
151.719;12.75;0;1.2;73.02;0;8.53;1.59;0.08;Candlestick
151.683;12.56;0;1.18;73.29;0;8.52;1.57;0.07;Candlestick
151.545;12.14;0;1.88;73.39;0.08;9.07;0.61;0.05;Candlestick
151.556;11.87;0;1.74;73.23;0.14;9.41;0.81;0.01;Candlestick
151.727;12.7;0;1.54;73.28;0;8.95;0.66;0;Candlestick
151.531;12.38;0;1.86;73.1;0.04;9.08;0.64;0;Candlestick
151.609;13.01;0;1.71;73.05;0.05;8.83;0.53;0;Candlestick
151.508;13.15;0;1.45;73.5;0;8.34;0.63;0;Candlestick
151.653;9.95;0;0.39;75.18;2.7;8.93;0;0;Candlestick
151.514;12.85;0;1.62;73.72;0;8.39;0.56;0;Candlestick
151.658;12.8;0;1.19;73.11;0;8.28;1.71;0;Candlestick
151.617;12.95;0;1.47;73.3;0;8.71;0.67;0;Candlestick
151.732;12.95;0;1;72.99;0;8.61;1.55;0;Candlestick
151.645;12.94;0;1.07;73.11;0;8.67;1.38;0;Candlestick
151.831;12.39;0;1.02;72.86;1.41;6.47;2.88;0;Candlestick
15.164;12.37;0;1.94;72.85;0;9.45;0.54;0;Candlestick
151.623;12.14;0;2.08;72.61;0.08;9.18;1.06;0;Candlestick
151.685;12.92;0;1.19;73.06;0;8.4;1.59;0;Candlestick
152.065;12.36;0;1.22;73.42;0;8.44;1.64;0;Candlestick
151.651;12.38;0;1.14;73.61;0;8.48;1.57;0;Candlestick
151.711;12.23;0;1.28;73.36;0;8.62;1.67;0;Candlestick
