N-degree;E-degree;Emergency Type;Date;Time
35,11101609;136,9905628;Traffic: VEHICLE ACCIDENT -;8-10-2019;06:28:23
35,17495633;136,9918158;Traffic: DISABLED VEHICLE -;8-10-2019;06:41:31
35,13174622;136,9146767;Fire: FIRE ALARM;8-10-2019;06:43:11
35,1976534;136,9771386;Traffic: DISABLED VEHICLE -;8-10-2019;06:48:07
35,18658824;136,9411824;Traffic: VEHICLE ACCIDENT -;8-10-2019;06:49:39
35,18248537;136,9260679;Fire: FIRE INVESTIGATION;8-10-2019;06:50:36
35,1732842;136,9685914;Traffic: VEHICLE ACCIDENT -;8-10-2019;06:51:54
35,15546612;136,9654246;Traffic: VEHICLE ACCIDENT -;8-10-2019;06:56:39
35,16696144;136,982818;Traffic: VEHICLE ACCIDENT -;8-10-2019;07:07:18
35,15554552;136,9807428;EMS: CARDIAC EMERGENCY;8-10-2019;07:18:59
35,18287563;136,9558442;Traffic: DISABLED VEHICLE -;8-10-2019;07:21:33
35,12048404;136,9399372;Fire: CARBON MONOXIDE DETECTOR;8-10-2019;07:21:44
35,12473253;136,9481362;EMS: RESPIRATORY EMERGENCY;8-10-2019;07:22:10
35,16314695;136,9523629;EMS: HEMORRHAGING;8-10-2019;07:24:07
35,15510379;136,9132072;Traffic: ROAD OBSTRUCTION -;8-10-2019;07:27:43
35,1899694;136,9435405;EMS: CARBON MONOXIDE DETECTOR;8-10-2019;07:29:59
35,19204324;136,9834256;Fire: WOODS/FIELD FIRE;8-10-2019;07:31:11
35,18071788;136,9910165;Traffic: VEHICLE ACCIDENT -;8-10-2019;07:31:24
35,17365403;136,9839625;EMS: HEAD INJURY;8-10-2019;07:31:47
35,17965468;136,9787105;Traffic: HAZARDOUS ROAD CONDITIONS -;8-10-2019;07:35:26
35,17504682;136,9436232;EMS: CHOKING;8-10-2019;07:40:02
35,13189987;136,9737564;Fire: FIRE ALARM;8-10-2019;07:43:20
35,17180746;136,9818217;EMS: HEMORRHAGING;8-10-2019;07:44:57
35,13915373;136,9437695;Fire: FIRE ALARM;8-10-2019;07:46:48
35,1478508;136,9119284;EMS: ARMED SUBJECT;8-10-2019;07:58:35
35,12133202;136,9907467;Fire: FIRE INVESTIGATION;8-10-2019;07:59:58
35,17090609;136,9818766;EMS: HEMORRHAGING;8-10-2019;08:02:26
35,15901625;136,9948605;EMS: MEDICAL ALERT ALARM;8-10-2019;08:03:40
35,1600621;136,9661791;Traffic: ROAD OBSTRUCTION -;8-10-2019;08:06:53
35,11354353;136,9303302;EMS: RESPIRATORY EMERGENCY;8-10-2019;08:12:14
35,11407364;136,9671014;EMS: SHOOTING;8-10-2019;08:17:25
35,13924463;136,9888452;Traffic: VEHICLE ACCIDENT -;8-10-2019;08:17:45
35,19111039;136,9557138;EMS: HEAD INJURY;8-10-2019;08:18:42
35,19028824;136,9121986;Traffic: VEHICLE ACCIDENT -;8-10-2019;08:22:48
35,11393733;136,9630326;EMS: CARDIAC EMERGENCY;8-10-2019;08:32:24
35,13765532;136,962555;EMS: VEHICLE ACCIDENT;8-10-2019;08:35:02
35,13795662;136,9247157;Fire: VEHICLE FIRE;8-10-2019;08:38:38
35,16944243;136,9399359;Traffic: VEHICLE ACCIDENT -;8-10-2019;08:39:42
35,16228012;136,9520649;EMS: HEAD INJURY;8-10-2019;08:44:17
35,18399073;136,972972;EMS: FALL VICTIM;8-10-2019;08:58:03
35,13836957;136,9364784;EMS: NAUSEA/VOMITING;8-10-2019;08:58:56
35,12460812;136,9492454;EMS: VEHICLE ACCIDENT;8-10-2019;09:02:41
35,19600552;136,9297767;EMS: HEAD INJURY;8-10-2019;09:11:05
35,19842814;136,9566614;Traffic: VEHICLE ACCIDENT -;8-10-2019;09:12:17
35,12788037;136,9874079;EMS: ABDOMINAL PAINS;8-10-2019;09:21:56
35,14272466;136,9326928;Fire: GAS-ODOR/LEAK;8-10-2019;09:22:11
35,11949041;136,9653925;EMS: RESPIRATORY EMERGENCY;8-10-2019;09:22:17
35,18699097;136,9527718;Traffic: DISABLED VEHICLE -;8-10-2019;09:23:44
35,14129938;136,9486347;Traffic: VEHICLE ACCIDENT -;8-10-2019;09:29:50
35,18731801;136,9308318;EMS: HEAD INJURY;8-10-2019;09:32:28
35,18898969;136,9824646;Traffic: VEHICLE ACCIDENT -;8-10-2019;09:35:40
35,15172499;136,9830643;EMS: HEMORRHAGING;8-10-2019;09:38:11
35,18764509;136,9438453;Traffic: HAZARDOUS ROAD CONDITIONS -;8-10-2019;09:40:55
35,19545234;136,9653673;Fire: VEHICLE ACCIDENT;8-10-2019;09:46:30
35,13094534;136,9945292;EMS: CARDIAC EMERGENCY;8-10-2019;09:53:09
35,1530637;136,9600842;Traffic: VEHICLE ACCIDENT -;8-10-2019;09:53:38
35,14249255;136,9763002;Traffic: ROAD OBSTRUCTION -;8-10-2019;09:54:27
35,19572865;136,9796975;Traffic: VEHICLE ACCIDENT -;8-10-2019;09:54:58
35,11574682;136,9294082;Traffic: ROAD OBSTRUCTION -;8-10-2019;09:55:19
35,15735122;136,98416;EMS: GENERAL WEAKNESS;8-10-2019;09:55:34
35,13896724;136,92744;EMS: VEHICLE ACCIDENT;8-10-2019;09:56:39
35,19690261;136,9407769;Traffic: DISABLED VEHICLE -;8-10-2019;09:57:27
35,15746086;136,9411718;EMS: FALL VICTIM;8-10-2019;09:57:56
35,14135154;136,9499073;Traffic: ROAD OBSTRUCTION -;8-10-2019;09:59:01
35,15970406;136,9142844;EMS: RESPIRATORY EMERGENCY;8-10-2019;10:00:24
35,15060648;136,9750151;Fire: VEHICLE ACCIDENT;8-10-2019;10:03:49
35,13216245;136,9991449;EMS: GENERAL WEAKNESS;8-10-2019;10:13:34
35,12363074;136,9726039;Fire: GAS-ODOR/LEAK;8-10-2019;10:13:35
35,13989555;136,9882889;Traffic: VEHICLE ACCIDENT -;8-10-2019;10:13:59
35,14646745;136,9513013;EMS: UNKNOWN MEDICAL EMERGENCY;8-10-2019;10:15:16
35,13094505;136,9333892;EMS: ALTERED MENTAL STATUS;8-10-2019;10:23:29
35,13056706;136,9282003;Fire: FIRE ALARM;8-10-2019;10:24:45
35,11345487;136,97854;EMS: RESPIRATORY EMERGENCY;8-10-2019;10:25:18
35,12867899;136,9120654;EMS: CARDIAC EMERGENCY;8-10-2019;10:30:17
35,11270727;136,9431072;EMS: RESPIRATORY EMERGENCY;8-10-2019;10:31:53
35,17504098;136,9677421;EMS: VEHICLE ACCIDENT;8-10-2019;10:36:59
35,14961434;136,9963437;EMS: SEIZURES;8-10-2019;10:39:41
35,16611157;136,9828675;EMS: SYNCOPAL EPISODE;8-10-2019;10:43:30
35,11091619;136,9236411;Traffic: VEHICLE ACCIDENT -;8-10-2019;10:44:01
35,15022093;136,9459715;Traffic: DISABLED VEHICLE -;8-10-2019;10:45:12
35,13452874;136,9590459;Traffic: VEHICLE ACCIDENT -;8-10-2019;10:45:50
35,13829303;136,9494403;EMS: FALL VICTIM;8-10-2019;10:50:30
35,18747211;136,9148779;EMS: FALL VICTIM;8-10-2019;10:55:25
35,16254058;136,9648895;Fire: UNKNOWN TYPE FIRE;8-10-2019;10:56:29
35,12693664;136,9256952;Traffic: VEHICLE ACCIDENT -;8-10-2019;11:01:45
35,1842476;136,9433588;EMS: SEIZURES;8-10-2019;11:05:00
35,16794971;136,9628303;EMS: SUSPICIOUS;8-10-2019;11:06:43
35,11506934;136,9454688;EMS: DEHYDRATION;8-10-2019;11:07:58
35,17093987;136,9522703;EMS: EMS SPECIAL SERVICE;8-10-2019;11:14:15
35,19647925;136,9606641;Traffic: VEHICLE ACCIDENT -;8-10-2019;11:22:30
35,12209351;136,9560566;Traffic: DISABLED VEHICLE -;8-10-2019;11:27:07
35,13392569;136,9460888;Fire: FIRE ALARM;8-10-2019;11:28:36
35,16405047;136,9414105;EMS: MEDICAL ALERT ALARM;8-10-2019;11:30:46
35,1954702;136,9368772;EMS: CARDIAC EMERGENCY;8-10-2019;11:32:51
35,16278191;136,9920634;EMS: ABDOMINAL PAINS;8-10-2019;11:34:34
35,11659776;136,9396107;EMS: SEIZURES;8-10-2019;11:36:12
35,17434945;136,952717;Traffic: VEHICLE ACCIDENT -;8-10-2019;11:37:36
35,13079406;136,9482805;EMS: CARDIAC EMERGENCY;8-10-2019;11:39:14
35,1237622;136,9664744;EMS: FALL VICTIM;8-10-2019;11:40:31
35,16636164;136,9171435;EMS: UNKNOWN MEDICAL EMERGENCY;8-10-2019;11:40:46
35,13862973;136,9326991;Traffic: VEHICLE ACCIDENT -;8-10-2019;11:45:20
35,18559954;136,9166381;EMS: VEHICLE ACCIDENT;8-10-2019;11:46:09
35,17793029;136,9882161;EMS: UNCONSCIOUS SUBJECT;8-10-2019;11:48:21
35,18806659;136,993279;EMS: NAUSEA/VOMITING;8-10-2019;11:49:16
35,1634139;136,9948088;Traffic: ROAD OBSTRUCTION -;8-10-2019;11:49:30
35,15161526;136,9946138;EMS: SUBJECT IN PAIN;8-10-2019;11:57:00
35,12944957;136,9773892;EMS: DIABETIC EMERGENCY;8-10-2019;11:57:44
35,1499006;136,9288837;EMS: RESPIRATORY EMERGENCY;8-10-2019;11:59:04
35,13157683;136,9466677;Traffic: VEHICLE ACCIDENT -;8-10-2019;12:01:13
35,17759341;136,990022;Traffic: DISABLED VEHICLE -;8-10-2019;12:01:41
35,15677701;136,996071;EMS: ALTERED MENTAL STATUS;8-10-2019;12:03:09
35,19079222;136,9636586;Traffic: DISABLED VEHICLE -;8-10-2019;12:03:40
35,11091082;136,9714344;Traffic: VEHICLE ACCIDENT -;8-10-2019;12:04:55
35,12597358;136,9482133;EMS: FEVER;8-10-2019;12:19:17
35,13671154;136,9887828;Traffic: VEHICLE ACCIDENT -;8-10-2019;12:19:19
35,1109175;136,9611068;EMS: RESPIRATORY EMERGENCY;8-10-2019;12:19:51
35,19617067;136,9837062;EMS: RESPIRATORY EMERGENCY;8-10-2019;12:22:13
35,17055823;136,9678652;Traffic: VEHICLE ACCIDENT -;8-10-2019;12:22:21
35,17714285;136,9859525;EMS: OVERDOSE;8-10-2019;12:23:54
35,13155672;136,9463515;EMS: FRACTURE;8-10-2019;12:23:56
35,13068558;136,910046;EMS: DOMESTIC DISTURBANCE;8-10-2019;12:25:57
35,18501519;136,9950278;EMS: CVA/STROKE;8-10-2019;12:27:04
35,18909258;136,9198132;Traffic: VEHICLE ACCIDENT -;8-10-2019;12:29:17
35,15028447;136,9845579;Fire: VEHICLE ACCIDENT;8-10-2019;12:29:37
35,12547621;136,9557016;Traffic: DISABLED VEHICLE -;8-10-2019;12:32:46
35,15836814;136,9178792;Traffic: VEHICLE ACCIDENT -;8-10-2019;12:32:51
35,19985382;136,9992079;Fire: FIRE INVESTIGATION;8-10-2019;12:33:06
35,18287023;136,979007;EMS: SEIZURES;8-10-2019;12:34:16
35,17991514;136,9439861;EMS: HEAD INJURY;8-10-2019;12:35:41
35,19679737;136,9529028;EMS: HEMORRHAGING;8-10-2019;12:37:35
35,19263025;136,9519877;EMS: CVA/STROKE;8-10-2019;12:38:16
35,1592525;136,9974689;EMS: CARDIAC EMERGENCY;8-10-2019;12:38:56
35,11503436;136,9755242;Fire: BUILDING FIRE;8-10-2019;12:40:40
35,16172687;136,9558715;Traffic: VEHICLE ACCIDENT -;8-10-2019;12:44:10
35,12859747;136,9645821;EMS: RESPIRATORY EMERGENCY;8-10-2019;12:45:46
35,12980867;136,9821619;EMS: MEDICAL ALERT ALARM;8-10-2019;12:48:34
35,1393888;136,9344968;Traffic: VEHICLE ACCIDENT -;8-10-2019;12:50:20
35,15970549;136,994642;EMS: CARDIAC EMERGENCY;8-10-2019;12:52:41
35,19683381;136,9318712;Fire: FIRE ALARM;8-10-2019;12:53:13
35,15255105;136,9488134;Traffic: VEHICLE ACCIDENT -;8-10-2019;12:53:47
35,12973411;136,9537347;Fire: VEHICLE FIRE;8-10-2019;12:55:48
35,17468834;136,976556;EMS: CVA/STROKE;8-10-2019;12:57:38
35,18513241;136,9539726;EMS: RESPIRATORY EMERGENCY;8-10-2019;12:58:31
35,17946467;136,949522;EMS: HEMORRHAGING;8-10-2019;13:02:23
35,1109831;136,9378662;EMS: SUBJECT IN PAIN;8-10-2019;13:05:19
35,11127491;136,9191335;Fire: GAS-ODOR/LEAK;8-10-2019;13:11:57
35,13572697;136,9599218;Traffic: VEHICLE ACCIDENT -;8-10-2019;13:13:44
35,18506896;136,9499477;Traffic: VEHICLE ACCIDENT -;8-10-2019;13:15:41
35,1662071;136,946538;EMS: FRACTURE;8-10-2019;13:16:42
35,14549077;136,948255;Traffic: VEHICLE ACCIDENT -;8-10-2019;13:17:00
35,11192238;136,953718;EMS: MEDICAL ALERT ALARM;8-10-2019;13:19:13
35,11446848;136,9407318;EMS: FEVER;8-10-2019;13:20:40
35,15416296;136,9899777;EMS: SEIZURES;8-10-2019;13:22:40
35,14787463;136,9620724;Fire: FIRE ALARM;8-10-2019;13:25:21
35,11778285;136,9418541;Traffic: VEHICLE ACCIDENT -;8-10-2019;13:27:22
35,18325676;136,9752655;EMS: RESPIRATORY EMERGENCY;8-10-2019;13:28:10
35,14443341;136,9805191;Traffic: HAZARDOUS ROAD CONDITIONS -;8-10-2019;13:32:52
35,19341579;136,9451536;EMS: CARDIAC EMERGENCY;8-10-2019;13:35:33
35,1184285;136,9372179;Traffic: ROAD OBSTRUCTION -;8-10-2019;13:35:53
35,13976419;136,9158018;EMS: SHOOTING;8-10-2019;13:46:00
35,14922931;136,9470415;EMS: VEHICLE ACCIDENT;8-10-2019;13:46:07
35,11699291;136,934978;EMS: RESPIRATORY EMERGENCY;8-10-2019;13:48:28
35,19225782;136,9961677;EMS: VEHICLE ACCIDENT;8-10-2019;13:48:36
35,12880955;136,942441;EMS: ALTERED MENTAL STATUS;8-10-2019;13:50:16
35,19763503;136,9329096;Traffic: DISABLED VEHICLE -;8-10-2019;13:56:47
35,12173599;136,9995387;Traffic: HAZARDOUS ROAD CONDITIONS -;8-10-2019;13:58:20
35,17535576;136,9891298;Traffic: ROAD OBSTRUCTION -;8-10-2019;14:01:53
35,12064532;136,9976862;EMS: MEDICAL ALERT ALARM;8-10-2019;14:03:43
35,14795694;136,9412599;EMS: ABDOMINAL PAINS;8-10-2019;14:04:17
35,18907813;136,9606505;EMS: HEAD INJURY;8-10-2019;14:04:56
35,16217873;136,9724926;Traffic: VEHICLE ACCIDENT -;8-10-2019;14:05:09
35,18592994;136,9717154;Traffic: ROAD OBSTRUCTION -;8-10-2019;14:06:22
35,18939868;136,9762585;EMS: DOMESTIC DISTURBANCE;8-10-2019;14:06:30
35,19333653;136,9760583;EMS: VEHICLE ACCIDENT;8-10-2019;14:06:47
35,15542618;136,926467;Fire: APPLIANCE FIRE;8-10-2019;14:07:02
35,19963254;136,9677021;Traffic: VEHICLE ACCIDENT -;8-10-2019;14:07:30
35,18680058;136,9207749;Fire: VEHICLE FIRE;8-10-2019;14:07:30
35,18227634;136,9110797;Traffic: HAZARDOUS ROAD CONDITIONS -;8-10-2019;14:07:44
35,17010384;136,9220174;EMS: DIABETIC EMERGENCY;8-10-2019;14:11:33
35,17334879;136,9411419;EMS: VEHICLE ACCIDENT;8-10-2019;14:13:46
35,13422006;136,9743399;EMS: HEAD INJURY;8-10-2019;14:20:33
35,16522737;136,9676305;Traffic: VEHICLE ACCIDENT -;8-10-2019;14:23:11
35,16802878;136,9675269;EMS: FALL VICTIM;8-10-2019;14:23:58
35,11604298;136,9100476;Fire: FIRE ALARM;8-10-2019;14:25:20
35,16128967;136,9448327;Traffic: VEHICLE ACCIDENT -;8-10-2019;14:29:01
35,13254385;136,9782357;Traffic: ROAD OBSTRUCTION -;8-10-2019;14:30:21
35,16989876;136,9799082;EMS: RESPIRATORY EMERGENCY;8-10-2019;14:36:03
35,13167126;136,9505727;EMS: VEHICLE ACCIDENT;8-10-2019;14:37:59
35,16622874;136,9942983;EMS: FALL VICTIM;8-10-2019;14:39:31
35,14981713;136,9613662;Traffic: VEHICLE ACCIDENT -;8-10-2019;14:42:03
35,14926398;136,9520094;EMS: GENERAL WEAKNESS;8-10-2019;14:42:44
35,12799733;136,9614228;EMS: FALL VICTIM;8-10-2019;14:43:10
35,17982993;136,9770129;Fire: FIRE INVESTIGATION;8-10-2019;14:44:37
35,1733993;136,9791743;EMS: RESPIRATORY EMERGENCY;8-10-2019;14:47:11
35,16037236;136,9549711;EMS: DOMESTIC DISTURBANCE;8-10-2019;14:47:14
35,12660224;136,963816;Traffic: ROAD OBSTRUCTION -;8-10-2019;14:49:58
35,18615985;136,9899581;EMS: UNKNOWN MEDICAL EMERGENCY;8-10-2019;14:50:34
35,12038078;136,9209837;Fire: FIRE ALARM;8-10-2019;14:57:19
35,15986315;136,9420907;Traffic: VEHICLE ACCIDENT -;8-10-2019;15:08:09
35,1552227;136,954447;Traffic: DISABLED VEHICLE -;8-10-2019;15:12:57
35,19650019;136,9355625;EMS: CARDIAC EMERGENCY;8-10-2019;15:16:37
35,17222042;136,9720956;Traffic: VEHICLE ACCIDENT -;8-10-2019;15:20:45
35,11764726;136,9374498;Traffic: DISABLED VEHICLE -;8-10-2019;15:23:46
35,14763062;136,9869065;Traffic: VEHICLE ACCIDENT -;8-10-2019;15:29:24
35,15089868;136,9297633;Traffic: DISABLED VEHICLE -;8-10-2019;15:31:50
35,17226926;136,9389697;Traffic: ROAD OBSTRUCTION -;8-10-2019;15:33:45
35,17602873;136,9114476;EMS: CARDIAC EMERGENCY;8-10-2019;15:35:34
35,18532661;136,9611992;EMS: FALL VICTIM;8-10-2019;15:36:46
35,12868019;136,9805813;Traffic: VEHICLE ACCIDENT -;8-10-2019;15:40:58
35,17579362;136,9199284;EMS: FALL VICTIM;8-10-2019;15:50:45
35,15571013;136,9763668;EMS: ABDOMINAL PAINS;8-10-2019;15:52:02
35,12807138;136,9599351;Fire: FIRE ALARM;8-10-2019;15:52:51
35,11888127;136,9861865;Traffic: VEHICLE ACCIDENT -;8-10-2019;16:08:23
35,15653247;136,9690135;EMS: RESPIRATORY EMERGENCY;8-10-2019;16:08:58
35,11441421;136,9691386;EMS: UNKNOWN MEDICAL EMERGENCY;8-10-2019;16:09:11
35,12591511;136,9695593;EMS: SUBJECT IN PAIN;8-10-2019;16:13:17
35,14605389;136,9817025;EMS: CARDIAC EMERGENCY;8-10-2019;16:22:51
35,16720288;136,9354818;Fire: FIRE SPECIAL SERVICE;8-10-2019;16:24:33
35,19104447;136,9225925;EMS: CARDIAC EMERGENCY;8-10-2019;16:28:27
35,11771448;136,9751161;Traffic: VEHICLE ACCIDENT -;8-10-2019;16:28:33
35,17707379;136,9604666;Fire: FIRE ALARM;8-10-2019;16:35:14
35,11030776;136,9849214;Traffic: ROAD OBSTRUCTION -;8-10-2019;16:35:40
35,18044644;136,9887582;EMS: VEHICLE ACCIDENT;8-10-2019;16:41:49
35,16601167;136,9674554;EMS: CARDIAC EMERGENCY;8-10-2019;16:41:50
35,17756972;136,9415809;Fire: FIRE SPECIAL SERVICE;8-10-2019;16:43:12
35,13042477;136,9716159;Traffic: VEHICLE ACCIDENT -;8-10-2019;16:59:17
35,16737775;136,9201619;Fire: GAS-ODOR/LEAK;8-10-2019;17:05:10
35,15902262;136,9347524;EMS: HEMORRHAGING;8-10-2019;17:06:15
35,11401877;136,9694923;EMS: SHOOTING;8-10-2019;17:10:41
35,18623715;136,9218874;EMS: FALL VICTIM;8-10-2019;17:13:20
35,11522696;136,9871232;EMS: SYNCOPAL EPISODE;8-10-2019;17:14:45
35,16214655;136,9255964;Traffic: VEHICLE ACCIDENT -;8-10-2019;17:16:21
35,16366894;136,9662307;EMS: VEHICLE ACCIDENT;8-10-2019;17:21:10
35,13198523;136,9527031;Traffic: VEHICLE ACCIDENT -;8-10-2019;17:27:07
35,19826153;136,9508851;EMS: FALL VICTIM;8-10-2019;17:28:19
35,12389404;136,9681068;EMS: SUBJECT IN PAIN;8-10-2019;17:28:55
35,16248401;136,9992807;EMS: RESPIRATORY EMERGENCY;8-10-2019;17:32:18
35,13823657;136,9566527;Traffic: VEHICLE ACCIDENT -;8-10-2019;17:39:59
35,11505543;136,926087;EMS: RESPIRATORY EMERGENCY;8-10-2019;17:45:22
35,12985274;136,9374304;Traffic: VEHICLE ACCIDENT -;8-10-2019;17:45:29
35,17682514;136,9651989;EMS: RESPIRATORY EMERGENCY;8-10-2019;17:46:06
35,16187251;136,9769273;EMS: FRACTURE;8-10-2019;17:49:28
35,16749212;136,9156559;Traffic: VEHICLE ACCIDENT -;8-10-2019;18:12:01
35,13016303;136,9481782;Fire: WOODS/FIELD FIRE;8-10-2019;18:12:27
35,12867373;136,915733;Traffic: VEHICLE ACCIDENT -;8-10-2019;18:13:03
35,14785988;136,9387754;EMS: VEHICLE ACCIDENT;8-10-2019;18:14:08
35,11875203;136,9713851;Traffic: VEHICLE ACCIDENT -;8-10-2019;18:14:27
35,1244924;136,9206331;EMS: CVA/STROKE;8-10-2019;18:20:21
35,17058592;136,9145648;EMS: CARDIAC EMERGENCY;8-10-2019;18:36:41
35,1963864;136,9619649;EMS: HEAD INJURY;8-10-2019;18:41:58
35,15899499;136,9459897;Fire: ELECTRICAL FIRE OUTSIDE;8-10-2019;18:42:19
35,14566936;136,9467123;Fire: FIRE ALARM;8-10-2019;18:48:26
35,16656031;136,979219;Fire: FIRE ALARM;8-10-2019;18:48:58
35,19837929;136,9506557;Traffic: VEHICLE ACCIDENT -;8-10-2019;18:52:21
35,16488851;136,9612764;EMS: SUBJECT IN PAIN;8-10-2019;18:53:18
35,14290777;136,9495419;Traffic: VEHICLE ACCIDENT -;8-10-2019;18:54:06
35,11980595;136,9835996;EMS: CARDIAC EMERGENCY;8-10-2019;18:54:32
35,12136492;136,9548768;EMS: MEDICAL ALERT ALARM;8-10-2019;19:01:19
35,1316752;136,9766944;EMS: HEMORRHAGING;8-10-2019;19:05:02
35,14363743;136,9341306;EMS: DIABETIC EMERGENCY;8-10-2019;19:08:37
35,18689876;136,9548269;Traffic: VEHICLE ACCIDENT -;8-10-2019;19:09:59
35,18557499;136,9766476;Traffic: DISABLED VEHICLE -;8-10-2019;19:14:11
35,11882001;136,9882421;EMS: ASSAULT VICTIM;8-10-2019;19:19:37
35,14141105;136,971992;Traffic: VEHICLE ACCIDENT -;8-10-2019;19:22:49
35,12521851;136,9334112;Fire: BUILDING FIRE;8-10-2019;19:27:51
35,16695237;136,9527878;EMS: UNKNOWN MEDICAL EMERGENCY;8-10-2019;19:28:11
35,16535153;136,9403634;EMS: ARMED SUBJECT;8-10-2019;19:32:52
35,13944521;136,9719982;Fire: FIRE ALARM;8-10-2019;19:40:52
35,1447509;136,9251952;EMS: RESPIRATORY EMERGENCY;8-10-2019;19:46:58
35,12599982;136,9284046;Traffic: VEHICLE ACCIDENT -;8-10-2019;19:47:00
35,13626314;136,9247112;Fire: FIRE ALARM;8-10-2019;19:48:48
35,19739877;136,9785338;EMS: ALTERED MENTAL STATUS;8-10-2019;20:12:31
35,1932838;136,9473429;Fire: FIRE ALARM;8-10-2019;20:40:00
35,15954508;136,9682716;Traffic: VEHICLE ACCIDENT -;8-10-2019;20:41:14
35,13783777;136,9586022;EMS: MEDICAL ALERT ALARM;8-10-2019;20:56:50
35,15846487;136,9922569;Fire: FIRE ALARM;8-10-2019;20:57:08
35,11534507;136,9297077;Traffic: DISABLED VEHICLE -;8-10-2019;20:59:27
35,19745934;136,9697107;EMS: SYNCOPAL EPISODE;8-10-2019;21:33:33
35,17880142;136,9796714;Traffic: DISABLED VEHICLE -;8-10-2019;21:58:24
35,18036841;136,9185572;Traffic: VEHICLE ACCIDENT -;8-10-2019;23:08:05
35,15586046;136,9625588;EMS: GENERAL WEAKNESS;8-10-2019;23:09:19
35,19804562;136,9347766;EMS: CARDIAC EMERGENCY;8-10-2019;23:35:00
35,11553174;136,9485482;EMS: RESPIRATORY EMERGENCY;9-10-2019;00:00:00
35,11424155;136,9440381;EMS: ABDOMINAL PAINS;9-10-2019;00:00:00
35,16541245;136,9497843;EMS: MEDICAL ALERT ALARM;9-10-2019;00:00:00
35,1840474;136,9283254;Traffic: VEHICLE ACCIDENT -;9-10-2019;00:00:00
35,15256984;136,9809332;EMS: UNCONSCIOUS SUBJECT;9-10-2019;00:00:00
35,11037799;136,987465;Traffic: DISABLED VEHICLE -;9-10-2019;00:18:39
35,15816386;136,9672126;EMS: UNCONSCIOUS SUBJECT;9-10-2019;00:20:23
35,17504912;136,9733649;Fire: BUILDING FIRE;9-10-2019;01:23:31
35,16017872;136,9418895;EMS: VEHICLE ACCIDENT;9-10-2019;01:59:27
35,19973997;136,9467736;EMS: FALL VICTIM;9-10-2019;02:07:55
35,1480114;136,9251611;EMS: FRACTURE;9-10-2019;02:08:08
35,13036437;136,9629641;Fire: FIRE INVESTIGATION;9-10-2019;02:30:56
35,18423303;136,9624975;Fire: VEHICLE FIRE;9-10-2019;02:31:51
35,18069139;136,9262818;EMS: ABDOMINAL PAINS;9-10-2019;02:40:33
35,16711298;136,9929179;EMS: ALTERED MENTAL STATUS;9-10-2019;02:50:43
